D_Name,D_SMILES,D_HOMO,D_LUMO,D_lamda_max,A_Name,A_HOMO,A_LUMO,A_lamda_max,VOC (V),JSC (mA/cm²),FF (%),PCE (%),Ratio,D_gap,A_gap,delta_HOMO,delta_LUMO
BDTT-TR,O=C(N(CC)C(S/1)=S)C1=C\C2=CC(CCCCCCCC)=C(S2)C3=CC=C(C4=C(CCCCCCCC)C=C(C5=CC6=C(C7=CC=C(CC(CCCC)CC)S7)C(SC(C8=CC(CCCCCCCC)=C(C(S9)=CC=C9C%10=C(CCCCCCCC)C=C(S%10)/C=C%11SC(N(C\%11=O)CC)=S)S8)=C%12)=C%12C(C%13=CC=C(CC(CC)CCCC)S%13)=C6S5)S4)S3,5.17,-3.43,708.0,Y6,5.7,-4.08,833.0,0.786,23.57,58.57,10.92,1.4,1.7399999999999998,1.62,0.5300000000000002,0.6499999999999999
BDTT-TR,O=C(N(CC)C(S/1)=S)C1=C\C2=CC(CCCCCCCC)=C(S2)C3=CC=C(C4=C(CCCCCCCC)C=C(C5=CC6=C(C7=CC=C(CC(CCCC)CC)S7)C(SC(C8=CC(CCCCCCCC)=C(C(S9)=CC=C9C%10=C(CCCCCCCC)C=C(S%10)/C=C%11SC(N(C\%11=O)CC)=S)S8)=C%12)=C%12C(C%13=CC=C(CC(CC)CCCC)S%13)=C6S5)S4)S3,5.17,-3.43,708.0,Y6,5.7,-4.08,833.0,0.78,22.45,58.94,11.18,1.6,1.7399999999999998,1.62,0.5300000000000002,0.6499999999999999
BDTT-TR,O=C(N(CC)C(S/1)=S)C1=C\C2=CC(CCCCCCCC)=C(S2)C3=CC=C(C4=C(CCCCCCCC)C=C(C5=CC6=C(C7=CC=C(CC(CCCC)CC)S7)C(SC(C8=CC(CCCCCCCC)=C(C(S9)=CC=C9C%10=C(CCCCCCCC)C=C(S%10)/C=C%11SC(N(C\%11=O)CC)=S)S8)=C%12)=C%12C(C%13=CC=C(CC(CC)CCCC)S%13)=C6S5)S4)S3,5.17,-3.43,708.0,Y6,5.7,-4.08,833.0,0.78,23.64,66.06,12.18,1.8,1.7399999999999998,1.62,0.5300000000000002,0.6499999999999999
BDTT-TR,O=C(N(CC)C(S/1)=S)C1=C\C2=CC(CCCCCCCC)=C(S2)C3=CC=C(C4=C(CCCCCCCC)C=C(C5=CC6=C(C7=CC=C(CC(CCCC)CC)S7)C(SC(C8=CC(CCCCCCCC)=C(C(S9)=CC=C9C%10=C(CCCCCCCC)C=C(S%10)/C=C%11SC(N(C\%11=O)CC)=S)S8)=C%12)=C%12C(C%13=CC=C(CC(CC)CCCC)S%13)=C6S5)S4)S3,5.17,-3.43,708.0,Y6,5.7,-4.08,833.0,0.785,23.52,64.51,11.92,2.0,1.7399999999999998,1.62,0.5300000000000002,0.6499999999999999
TBFT-TR,O=C(N(CC)C(S/1)=S)C1=C\C2=CC(CCCCCCCC)=C(S2)C3=CC=C(C4=C(CCCCCCCC)C=C(C5=CC6=C(C7=CC=C(CC(CCCC)CC)S7)C(SC(C8=CC(CCCCCCCC)=C(C(S9)=CC=C9C%10=C(CCCCCCCC)C=C(S%10)/C=C%11SC(N(C\%11=O)CC)=S)S8)=C%12)=C%12C(C%13=CC=C(CC(CC)CCCC)S%13)=C6O5)S4)S3,5.16,-3.46,727.0,Y6,5.7,-4.08,833.0,0.785,22.69,48.92,8.71,1.0,1.7000000000000002,1.62,0.54,0.6200000000000001
TBFT-TR,O=C(N(CC)C(S/1)=S)C1=C\C2=CC(CCCCCCCC)=C(S2)C3=CC=C(C4=C(CCCCCCCC)C=C(C5=CC6=C(C7=CC=C(CC(CCCC)CC)S7)C(SC(C8=CC(CCCCCCCC)=C(C(S9)=CC=C9C%10=C(CCCCCCCC)C=C(S%10)/C=C%11SC(N(C\%11=O)CC)=S)S8)=C%12)=C%12C(C%13=CC=C(CC(CC)CCCC)S%13)=C6O5)S4)S3,5.16,-3.46,727.0,Y6,5.7,-4.08,833.0,0.779,23.52,59.29,10.86,1.2,1.7000000000000002,1.62,0.54,0.6200000000000001
TBFT-TR,O=C(N(CC)C(S/1)=S)C1=C\C2=CC(CCCCCCCC)=C(S2)C3=CC=C(C4=C(CCCCCCCC)C=C(C5=CC6=C(C7=CC=C(CC(CCCC)CC)S7)C(SC(C8=CC(CCCCCCCC)=C(C(S9)=CC=C9C%10=C(CCCCCCCC)C=C(S%10)/C=C%11SC(N(C\%11=O)CC)=S)S8)=C%12)=C%12C(C%13=CC=C(CC(CC)CCCC)S%13)=C6O5)S4)S3,5.16,-3.46,727.0,Y6,5.7,-4.08,833.0,0.78,23.59,64.4,11.85,1.4,1.7000000000000002,1.62,0.54,0.6200000000000001
TBFT-TR,O=C(N(CC)C(S/1)=S)C1=C\C2=CC(CCCCCCCC)=C(S2)C3=CC=C(C4=C(CCCCCCCC)C=C(C5=CC6=C(C7=CC=C(CC(CCCC)CC)S7)C(SC(C8=CC(CCCCCCCC)=C(C(S9)=CC=C9C%10=C(CCCCCCCC)C=C(S%10)/C=C%11SC(N(C\%11=O)CC)=S)S8)=C%12)=C%12C(C%13=CC=C(CC(CC)CCCC)S%13)=C6O5)S4)S3,5.16,-3.46,727.0,Y6,5.7,-4.08,833.0,0.784,24.32,67.27,12.83,1.6,1.7000000000000002,1.62,0.54,0.6200000000000001
TBFT-TR,O=C(N(CC)C(S/1)=S)C1=C\C2=CC(CCCCCCCC)=C(S2)C3=CC=C(C4=C(CCCCCCCC)C=C(C5=CC6=C(C7=CC=C(CC(CCCC)CC)S7)C(SC(C8=CC(CCCCCCCC)=C(C(S9)=CC=C9C%10=C(CCCCCCCC)C=C(S%10)/C=C%11SC(N(C\%11=O)CC)=S)S8)=C%12)=C%12C(C%13=CC=C(CC(CC)CCCC)S%13)=C6O5)S4)S3,5.16,-3.46,727.0,Y6,5.7,-4.08,833.0,0.784,24.59,72.78,14.03,1.8,1.7000000000000002,1.62,0.54,0.6200000000000001
TBFT-TR,O=C(N(CC)C(S/1)=S)C1=C\C2=CC(CCCCCCCC)=C(S2)C3=CC=C(C4=C(CCCCCCCC)C=C(C5=CC6=C(C7=CC=C(CC(CCCC)CC)S7)C(SC(C8=CC(CCCCCCCC)=C(C(S9)=CC=C9C%10=C(CCCCCCCC)C=C(S%10)/C=C%11SC(N(C\%11=O)CC)=S)S8)=C%12)=C%12C(C%13=CC=C(CC(CC)CCCC)S%13)=C6O5)S4)S3,5.16,-3.46,727.0,Y6,5.7,-4.08,833.0,0.785,24.21,69.15,13.14,2.0,1.7000000000000002,1.62,0.54,0.6200000000000001
TBFT-TR,O=C(N(CC)C(S/1)=S)C1=C\C2=CC(CCCCCCCC)=C(S2)C3=CC=C(C4=C(CCCCCCCC)C=C(C5=CC6=C(C7=CC=C(CC(CCCC)CC)S7)C(SC(C8=CC(CCCCCCCC)=C(C(S9)=CC=C9C%10=C(CCCCCCCC)C=C(S%10)/C=C%11SC(N(C\%11=O)CC)=S)S8)=C%12)=C%12C(C%13=CC=C(CC(CC)CCCC)S%13)=C6O5)S4)S3,5.16,-3.46,727.0,N3,5.64,-4.08,751.0,0.774,24.5,72.57,13.76,1.8,1.7000000000000002,1.5599999999999996,0.47999999999999954,0.6200000000000001
BSCl-C1,ClC1=C(SCC(CC)CCCC)SC(C2=C3C(SC(C4=C(C(S5)=C(S4)C=C5C6=C(C=C(S6)/C=C7SC(N(C\7=O)C(CC)CCCC)=O)CCCCCC)CCCCCC)=C3)=C(C8=CC(Cl)=C(S8)SCC(CCCC)CC)C9=C2SC(C%10=C(CCCCCC)C%11=C(C=C(C%12=C(CCCCCC)C=C(/C=C%13C(N(C(CCCC)CC)C(S/%13)=O)=O)S%12)S%11)S%10)=C9)=C1,5.59,-3.34,664.6,IDIC-4Cl,5.88,-3.98,755.8,0.564,4.7,33.9,0.9,1.5,2.25,1.9,0.29000000000000004,0.6400000000000001
