D_Name;D_SMILES;D_HOMO;D_LUMO;D_lamda_max;Solvent;A_Name;A_HOMO;A_LUMO;A_lamda_max;VOC (V);JSC (mA/cm²);FF (%);PCE (%);Ratio;REFERENCE;Conversion_Status
DR3TBDTT;CCCCCCCCc1cc(/C=C2/SC(=S)N(CC)C2=O)sc1-c1ccc(-c2sc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(-c6cc(CCCCCCCC)c(-c7ccc(-c8sc(/C=C9/SC(=S)N(CC)C9=O)cc8CCCCCCCC)s7)s6)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)cc2CCCCCCCC)s1;-5,17;-3,34;650;CF;Y6;-5,7;-4,08;833;0,78;23,64;66,06;12,18;1,8:1;[1111];✅ OK
H11;CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(/C=C(\C#N)C(=O)OCC(CC)CCCC)s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(-c7ccc(-c8c(F)c(F)c(-c9ccc(/C=C(\C#N)C(=O)OCC(CC)CCCC)s9)c9nn(CC(CCCCCC)CCCCCCCC)nc89)s7)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)s3)c2n1;-5,31;-3,03;605;CF;IDIC;-5,65;-3,97;710;0,977;15,21;65,46;9,73;02:01;[1111];✅ OK
H12;CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(/C=C(\C#N)C(=O)OCC(CC)CCCC)s3)c(F)c(F)c(-c3ccc(-c4cc5c(OCC(CC)CCCC)c6sc(-c7ccc(-c8c(F)c(F)c(-c9ccc(/C=C(\C#N)C(=O)OCC(CC)CCCC)s9)c9nn(CC(CCCCCC)CCCCCCCC)nc89)s7)cc6c(OCC(CC)CCCC)c5s4)s3)c2n1;-5,28;-3,01;605;CF;IDIC;-5,65;-3,97;710;0,955;10,51;54,89;5,51;02:01;[1111];✅ OK
H13;CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(/C=C(\C#N)C(=O)OCC(CC)CCCC)s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6cc(F)c(CC(CC)CCCC)s6)c6sc(-c7ccc(-c8c(F)c(F)c(-c9ccc(/C=C(\C#N)C(=O)OCC(CC)CCCC)s9)c9nn(CC(CCCCCC)CCCCCCCC)nc89)s7)cc6c(-c6cc(F)c(CC(CC)CCCC)s6)c5s4)s3)c2n1;-5,43;-3,39;605;CF;IDIC-4F;-5,66;-4,14;803;0,939;17,3;63,2;10,3;02:01;[1111];✅ OK
H14;CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(/C=C(\C#N)C(=O)OCC(CC)CCCC)s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6cc(Cl)c(CC(CC)CCCC)s6)c6sc(-c7ccc(-c8c(F)c(F)c(-c9ccc(/C=C(\C#N)C(=O)OCC(CC)CCCC)s9)c9nn(CC(CCCCCC)CCCCCCCC)nc89)s7)cc6c(-c6cc(Cl)c(CC(CC)CCCC)s6)c5s4)s3)c2n1;-5,46;-3,47;605;CF;IDIC-4F;-5,66;-4,14;803;0,943;18,3;70,2;12,1;02:01;[1111];✅ OK
BDT(TVT-SR)2;CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(/C=C(\C#N)C(=O)OCC(CC)CCCC)s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc(/C=C/c7ccc(SCC(CC)CCCC)s7)s6)c6sc(-c7ccc(-c8c(F)c(F)c(-c9ccc(/C=C(\C#N)C(=O)OCC(CC)CCCC)s9)c9nn(CC(CCCCCC)CCCCCCCC)nc89)s7)cc6c(-c6ccc(/C=C/c7ccc(SCC(CC)CCCC)s7)s6)c5s4)s3)c2n1;-5,33;-3,18;603;CF;IDIC;-5,65;-3,97;710;0,98;15,92;71,15;11,1;02:01;[1111];✅ OK
SM-BT-2OR;CCCCCCCCOc1cc(-c2ccc(-c3ccc(/C=C(\C#N)C(=O)OCC(CC)CCCC)s3)c3nsnc23)sc1-c1cc2c(-c3ccc(CC(CC)CCCC)s3)c3sc(-c4sc(-c5ccc(-c6ccc(/C=C(\C#N)C(=O)OCC(CC)CCCC)s6)c6nsnc56)cc4OCCCCCCCC)cc3c(-c3ccc(CC(CC)CCCC)s3)c2s1;-5,34;-2,12;584;CF;IDIC;-5,65;-3,97;710;0,939;13,57;56,5;7,2;02:01;[1111];✅ OK
SM-BT-2F;CCCCCCCCOc1cc(-c2c(F)c(F)c(-c3ccc(/C=C(\C#N)C(=O)OCC(CC)CCCC)s3)c3nsnc23)sc1-c1cc2c(-c3ccc(CC(CC)CCCC)s3)c3sc(-c4sc(-c5c(F)c(F)c(-c6ccc(/C=C(\C#N)C(=O)OCC(CC)CCCC)s6)c6nsnc56)cc4OCCCCCCCC)cc3c(-c3ccc(CC(CC)CCCC)s3)c2s1;-5,36;-2,26;606;CF;IDIC;-5,65;-3,97;710;0,987;5,36;30,2;1,6;02:01;[1111];✅ OK
BDT3TR;CCCCCCCCc1cc(/C=C2/SC(=O)N(CC)C2=O)sc1-c1cc(CCCCCCCC)c(-c2sc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(-c6cc7c(-c8ccc(CC(CC)CCCC)s8)c8sc(-c9cc%10c(-c%11ccc(CC(CC)CCCC)s%11)c%11sc(-c%12cc(CCCCCCCC)c(-c%13sc(-c%14sc(/C=C%15/SC(=O)N(CC)C%15=O)cc%14CCCCCCCC)cc%13CCCCCCCC)s%12)cc%11c(-c%11ccc(CC(CC)CCCC)s%11)c%10s9)cc8c(-c8ccc(CC(CC)CCCC)s8)c7s6)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)cc2CCCCCCCC)s1;-5,1;-3,28;572;CF;O-IDTBR;-5,51;-3,88;731;1,06;12,1;55;7,09;01:01;[Pilar];✅ OK
DRC4TB;CCCCCCCCc1cc(-c2cc3c(-c4cccs4)c4sc(-c5cc(CCCCCCCC)c(-c6cc(OC(CC)CCCC)c(-c7ccc(/C=C8/SC(=S)N(CCCC)C8=O)s7)cc6OC(CC)CCCC)s5)cc4c(-c4cccs4)c3s2)sc1-c1cc(OC(CC)CCCC)c(-c2ccc(/C=C3/SC(=S)N(CCCC)C3=O)s2)cc1OC(CC)CCCC;-5,25;-3,21;606;CF;Hf-PCIC;-5,41;-3,84;780;0,9;15,21;65,5;8,68;1,5:1;[Pilar];✅ OK
SM;CCCCCCCCc1cc(/C=C(\C#N)C(=O)OCC)sc1-c1ccc(-c2sc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(-c6cc(CCCCCCCC)c(-c7ccc(-c8sc(/C=C(\C#N)C(=O)OCC)cc8CCCCCCCC)s7)s6)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)cc2CCCCCCCC)s1;-5,25;-3,33;616;CF;IDIC;-5,65;-3,97;710;0,911;15,51;67,85;9,39;02:01;[Pilar];✅ OK
