D_Name,D_SMILES,D_HOMO,D_LUMO,D_lamda_max,A_Name,A_HOMO,A_LUMO,A_lamda_max,VOC (V),JSC (mA/cm²),FF (%),PCE (%),Ratio,D_gap,A_gap,delta_HOMO,delta_LUMO,Conversion_Status
BDTT-TR,CCCCCCCCc1cc(/C=C2\SC(=S)N(CC)C2=O)sc1-c1ccc(-c2sc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(-c6cc(CCCCCCCC)c(-c7ccc(-c8sc(/C=C9\SC(=S)N(CC)C9=O)cc8CCCCCCCC)s7)s6)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)cc2CCCCCCCC)s1,5.17,-3.43,708.0,Y6,5.7,-4.08,833.0,0.786,23.57,58.57,10.92,1.4,1.7399999999999998,1.62,0.5300000000000002,0.6499999999999999,✅ OK
BDTT-TR,CCCCCCCCc1cc(/C=C2\SC(=S)N(CC)C2=O)sc1-c1ccc(-c2sc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(-c6cc(CCCCCCCC)c(-c7ccc(-c8sc(/C=C9\SC(=S)N(CC)C9=O)cc8CCCCCCCC)s7)s6)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)cc2CCCCCCCC)s1,5.17,-3.43,708.0,Y6,5.7,-4.08,833.0,0.78,22.45,58.94,11.18,1.6,1.7399999999999998,1.62,0.5300000000000002,0.6499999999999999,✅ OK
BDTT-TR,CCCCCCCCc1cc(/C=C2\SC(=S)N(CC)C2=O)sc1-c1ccc(-c2sc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(-c6cc(CCCCCCCC)c(-c7ccc(-c8sc(/C=C9\SC(=S)N(CC)C9=O)cc8CCCCCCCC)s7)s6)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)cc2CCCCCCCC)s1,5.17,-3.43,708.0,Y6,5.7,-4.08,833.0,0.78,23.64,66.06,12.18,1.8,1.7399999999999998,1.62,0.5300000000000002,0.6499999999999999,✅ OK
BDTT-TR,CCCCCCCCc1cc(/C=C2\SC(=S)N(CC)C2=O)sc1-c1ccc(-c2sc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(-c6cc(CCCCCCCC)c(-c7ccc(-c8sc(/C=C9\SC(=S)N(CC)C9=O)cc8CCCCCCCC)s7)s6)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)cc2CCCCCCCC)s1,5.17,-3.43,708.0,Y6,5.7,-4.08,833.0,0.785,23.52,64.51,11.92,2.0,1.7399999999999998,1.62,0.5300000000000002,0.6499999999999999,✅ OK
TBFT-TR,CCCCCCCCc1cc(/C=C2\SC(=S)N(CC)C2=O)sc1-c1ccc(-c2sc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(-c6cc(CCCCCCCC)c(-c7ccc(-c8sc(/C=C9\SC(=S)N(CC)C9=O)cc8CCCCCCCC)s7)s6)cc5c(-c5ccc(CC(CC)CCCC)s5)c4o3)cc2CCCCCCCC)s1,5.16,-3.46,727.0,Y6,5.7,-4.08,833.0,0.785,22.69,48.92,8.71,1.0,1.7000000000000002,1.62,0.54,0.6200000000000001,✅ OK
TBFT-TR,CCCCCCCCc1cc(/C=C2\SC(=S)N(CC)C2=O)sc1-c1ccc(-c2sc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(-c6cc(CCCCCCCC)c(-c7ccc(-c8sc(/C=C9\SC(=S)N(CC)C9=O)cc8CCCCCCCC)s7)s6)cc5c(-c5ccc(CC(CC)CCCC)s5)c4o3)cc2CCCCCCCC)s1,5.16,-3.46,727.0,Y6,5.7,-4.08,833.0,0.779,23.52,59.29,10.86,1.2,1.7000000000000002,1.62,0.54,0.6200000000000001,✅ OK
TBFT-TR,CCCCCCCCc1cc(/C=C2\SC(=S)N(CC)C2=O)sc1-c1ccc(-c2sc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(-c6cc(CCCCCCCC)c(-c7ccc(-c8sc(/C=C9\SC(=S)N(CC)C9=O)cc8CCCCCCCC)s7)s6)cc5c(-c5ccc(CC(CC)CCCC)s5)c4o3)cc2CCCCCCCC)s1,5.16,-3.46,727.0,Y6,5.7,-4.08,833.0,0.78,23.59,64.4,11.85,1.4,1.7000000000000002,1.62,0.54,0.6200000000000001,✅ OK
TBFT-TR,CCCCCCCCc1cc(/C=C2\SC(=S)N(CC)C2=O)sc1-c1ccc(-c2sc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(-c6cc(CCCCCCCC)c(-c7ccc(-c8sc(/C=C9\SC(=S)N(CC)C9=O)cc8CCCCCCCC)s7)s6)cc5c(-c5ccc(CC(CC)CCCC)s5)c4o3)cc2CCCCCCCC)s1,5.16,-3.46,727.0,Y6,5.7,-4.08,833.0,0.784,24.32,67.27,12.83,1.6,1.7000000000000002,1.62,0.54,0.6200000000000001,✅ OK
TBFT-TR,CCCCCCCCc1cc(/C=C2\SC(=S)N(CC)C2=O)sc1-c1ccc(-c2sc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(-c6cc(CCCCCCCC)c(-c7ccc(-c8sc(/C=C9\SC(=S)N(CC)C9=O)cc8CCCCCCCC)s7)s6)cc5c(-c5ccc(CC(CC)CCCC)s5)c4o3)cc2CCCCCCCC)s1,5.16,-3.46,727.0,Y6,5.7,-4.08,833.0,0.784,24.59,72.78,14.03,1.8,1.7000000000000002,1.62,0.54,0.6200000000000001,✅ OK
TBFT-TR,CCCCCCCCc1cc(/C=C2\SC(=S)N(CC)C2=O)sc1-c1ccc(-c2sc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(-c6cc(CCCCCCCC)c(-c7ccc(-c8sc(/C=C9\SC(=S)N(CC)C9=O)cc8CCCCCCCC)s7)s6)cc5c(-c5ccc(CC(CC)CCCC)s5)c4o3)cc2CCCCCCCC)s1,5.16,-3.46,727.0,Y6,5.7,-4.08,833.0,0.785,24.21,69.15,13.14,2.0,1.7000000000000002,1.62,0.54,0.6200000000000001,✅ OK
TBFT-TR,CCCCCCCCc1cc(/C=C2\SC(=S)N(CC)C2=O)sc1-c1ccc(-c2sc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(-c6cc(CCCCCCCC)c(-c7ccc(-c8sc(/C=C9\SC(=S)N(CC)C9=O)cc8CCCCCCCC)s7)s6)cc5c(-c5ccc(CC(CC)CCCC)s5)c4o3)cc2CCCCCCCC)s1,5.16,-3.46,727.0,N3,5.64,-4.08,751.0,0.774,24.5,72.57,13.76,1.8,1.7000000000000002,1.5599999999999996,0.4799999999999995,0.6200000000000001,✅ OK
BSCl-C1,CCCCCCc1cc(/C=C2\SC(=O)N(C(CC)CCCC)C2=O)sc1-c1cc2sc(-c3cc4c(-c5cc(Cl)c(SCC(CC)CCCC)s5)c5sc(-c6sc7cc(-c8sc(/C=C9\SC(=O)N(C(CC)CCCC)C9=O)cc8CCCCCC)sc7c6CCCCCC)cc5c(-c5cc(Cl)c(SCC(CC)CCCC)s5)c4s3)c(CCCCCC)c2s1,5.59,-3.34,664.6,IDIC-4Cl,5.88,-3.98,755.8,0.564,4.7,33.9,0.9,1.5,2.25,1.9,0.29,0.6400000000000001,✅ OK
BSCl-C2,CCCCCCc1cc(/C=C2\SC(=O)N(CC(CC)CCCC)C2=O)sc1-c1cc2sc(-c3cc4c(-c5cc(Cl)c(SCC(CC)CCCC)s5)c5sc(-c6sc7cc(-c8sc(/C=C9\SC(=O)N(CC(CC)CCCC)C9=O)cc8CCCCCC)sc7c6CCCCCC)cc5c(-c5cc(Cl)c(SCC(CC)CCCC)s5)c4s3)c(CCCCCC)c2s1,5.58,-3.39,680.7,IDIC-4Cl,5.88,-3.98,755.8,0.865,20.1,71.3,12.4,1.5,2.19,1.9,0.2999999999999998,0.5899999999999999,✅ OK
BSCl-C3,CCCCCCc1cc(/C=C2\SC(=O)N(CCC(CC)CCCC)C2=O)sc1-c1cc2sc(-c3cc4c(-c5cc(Cl)c(SCC(CC)CCCC)s5)c5sc(-c6sc7cc(-c8sc(/C=C9\SC(=O)N(CCC(CC)CCCC)C9=O)cc8CCCCCC)sc7c6CCCCCC)cc5c(-c5cc(Cl)c(SCC(CC)CCCC)s5)c4s3)c(CCCCCC)c2s1,5.55,-3.37,675.4,IDIC-4Cl,5.88,-3.98,755.8,0.87,14.2,67.0,8.25,1.5,2.18,1.9,0.33,0.6099999999999999,✅ OK
ZR1,CCCCCCCCc1cc(-c2cc3sc4c(-c5ccc(CC(CCCC)CCCCCC)s5)c5c(sc6cc(-c7cc(CCCCCCCC)c(-c8ccc(/C=C9/SC(=S)N(CCCCCC)C9=O)s8)s7)sc65)c(-c5ccc(CCC(CCCC)CCCCCC)s5)c4c3s2)sc1-c1ccc(/C=C2/SC(=S)N(CCCCCC)C2=O)s1,5.32,-3.35,620.0,Y6,5.72,-4.1,820.0,0.855,20.56,67.07,11.8,2.5,1.97,1.62,0.3999999999999994,0.7499999999999996,✅ OK
ZR1,CCCCCCCCc1cc(-c2cc3sc4c(-c5ccc(CC(CCCC)CCCCCC)s5)c5c(sc6cc(-c7cc(CCCCCCCC)c(-c8ccc(/C=C9/SC(=S)N(CCCCCC)C9=O)s8)s7)sc65)c(-c5ccc(CCC(CCCC)CCCCCC)s5)c4c3s2)sc1-c1ccc(/C=C2/SC(=S)N(CCCCCC)C2=O)s1,5.32,-3.35,620.0,Y6,5.72,-4.1,820.0,0.861,24.34,68.44,14.34,2.0,1.97,1.62,0.3999999999999994,0.7499999999999996,✅ OK
